job_title,job_detail_url,job_listed,company_name,company_link,company_location
Python and SQL,https://in.linkedin.com/jobs/view/python-and-sql-at-fusion-plus-solutions-inc-3729789156?refId=K8SZJstLvoKSbcCF0mBqGw%3D%3D&trackingId=pxol8Uw38GIxnxMmLDYlnw%3D%3D&position=19&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago,Fusion Plus Solutions Inc,https://www.linkedin.com/company/fusion-plus-solutions-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India"
Quality Assurance Automation Engineer - Python/Selenium,https://in.linkedin.com/jobs/view/quality-assurance-automation-engineer-python-selenium-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3733358820?refId=K8SZJstLvoKSbcCF0mBqGw%3D%3D&trackingId=kQkdPR7C5cOwrUPgmtnBaA%3D%3D&position=20&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India"
Python Developer,https://in.linkedin.com/jobs/view/python-developer-at-turing-3744049700?refId=K8SZJstLvoKSbcCF0mBqGw%3D%3D&trackingId=1xNfDYuY5MzBo%2BPNUaHJBg%3D%3D&position=21&pageNum=10&trk=public_jobs_jserp-result_search-card,3 weeks ago,Turing,https://www.linkedin.com/company/turingcom?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Chennai Area
Python / Flask (Software Engineer),https://in.linkedin.com/jobs/view/python-flask-software-engineer-at-intellore-systems-private-limited-3736693982?refId=K8SZJstLvoKSbcCF0mBqGw%3D%3D&trackingId=taYrdVIgYYpnMPcAjcXxnQ%3D%3D&position=22&pageNum=10&trk=public_jobs_jserp-result_search-card,3 weeks ago,Intellore Systems Private Limited,https://in.linkedin.com/company/intellore?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pune, Maharashtra, India"
Data Scientist,https://in.linkedin.com/jobs/view/data-scientist-at-changeleaders-in-3744056660?refId=K8SZJstLvoKSbcCF0mBqGw%3D%3D&trackingId=rXoQ4EARI%2FXe3%2FB1g9dnZQ%3D%3D&position=23&pageNum=10&trk=public_jobs_jserp-result_search-card,2 weeks ago,Changeleaders.in,https://in.linkedin.com/company/changeleaders?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bangalore Urban, Karnataka, India"
Data Analyst - SQL/Python,https://in.linkedin.com/jobs/view/data-analyst-sql-python-at-hitya-global-3744906819?refId=K8SZJstLvoKSbcCF0mBqGw%3D%3D&trackingId=USObr2a0C7HVqzQCyK9aSQ%3D%3D&position=24&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,Hitya Global,https://in.linkedin.com/company/hitya-global?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India"
Python developer,https://in.linkedin.com/jobs/view/python-developer-at-ditinus%E2%84%A2-technology-private-ltd-3731912699?refId=K8SZJstLvoKSbcCF0mBqGw%3D%3D&trackingId=JvQPJIS17c6sxB3URlesgA%3D%3D&position=25&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago,Ditinus™ Technology Private Ltd.,https://in.linkedin.com/company/ditinus-technology-pvt-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sahibzada Ajit Singh Nagar, Punjab, India"
job_title,job_detail_url,job_listed,company_name,company_link,company_location
Software Engineer,https://in.linkedin.com/jobs/view/software-engineer-at-ibm-3746297702?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=Aeky%2Fo%2FOip6KM3hQB%2BqYkQ%3D%3D&position=1&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,IBM,https://www.linkedin.com/company/ibm?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru East, Karnataka, India"
"Staff Software Engineer, Machine Learning, Google Cloud",https://in.linkedin.com/jobs/view/staff-software-engineer-machine-learning-google-cloud-at-google-3747430189?refId=iT%2BmIYvmreO7UG7PRkwilA%3D%3D&trackingId=eRUAKOIX4yi6RN%2F%2F1OMi8A%3D%3D&position=2&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago,Google,https://www.linkedin.com/company/google?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India"
